ID,SideTrackID,WellName,WellType,ClientDEPTH2,QRIDEPTH2,QRIDepthRevised,ClientHoleSize,QRIHoleSize,QRIHoleSizeRevised,OperationDate,FromDateTime,ToDateTime,DateCheck,DurationDays,TimeCheck,Footage,ROPM_hr,DFS,ActivityDescription,ActivityDescriptionEnglish,ClientP_NP,QRIRevisedP_NP,Probability,ClientPhase,QRIMajorOperation,NPTCategory,NPTType
1,"","Corralillo6890","S-SHAPE",100,64,"64","14.75",14.75,"14.75",41097,41097,41097.16667,"OK",0.166666667,"OK",64,15.99968001,0.166666667,"(N)  CON BNA TRICONICA 14 3/4"" + MDF 8"" PERFORA A 64 MTS, CON LODO W-BAC 1.15 G/CC X 45 SEG, ROP GRAL =16.11 M/H PARAMETROS: GASTO: 308 GPM, PRESION 620 PSI, PSB 4-6 TON, ROTARIA 60+ 290 RPM. .4","'(N) WITH BONE TRICONICA 14 3/4 &quot;+ MDF 8&quot; PERFORTS AT 64 MTS, WITH W-BAC LOAD 1.15 G / L X 45 SEC, ROP GRAL = 16.11 M / H PARAMETERS: SPENDING: 308 GPM, PRESSURE 620 PSI , PSB 4-6 TON, ROTARY 60+ 290 RPM. . 4'","Productive","","","PER ","","",""
2,"","Corralillo6890","S-SHAPE",100,100,"100","14.75",14.75,"14.75",41097,41097.16667,41097.25,"OK",0.083333333,"OK",36,18.00072003,0.25,"(N) CON BNA TRICONICA 14 3/4"" + MDF 8"" PERFORA DE 64 M A 100 MTS, CON LODO W-BAC 1.15 G/CC X 45 SEG,ROP GRAL = 11.08 M/H PARAMETROS: GASTO: 380 GPM, PRESION 470 PSI, PSB 3-5 TON, ROTARIA 65+ 290 RPM. VA:35 FT/MIN .6","'(N) WITH BONE TRICONICA 14 3/4 &quot;+ MDF 8&quot; PERFORATION OF 64 MA 100 MTS, WITH LODO W-BAC 1.15 G / CC X 45 SEG, ROP GRAL = 11.08 M / H PARAMETERS: SPENDING: 380 GPM, PRESSURE 470 PSI, PSB 3-5 TON, ROTARY 65+ 290 RPM. VA: 35 FT / MIN. 6'","Productive","","","PER ","","",""
3,"","Corralillo6890","S-SHAPE",100,100,"100","14.75",14.75,"14.75",41097,41097.25,41097.29167,"OK",0.041666667,"OK",0,0,0.291666667,"(N) BOMBEO BACHE DE LIMPIEZA Y CIRCULO PARA LIMPIAR AGUJERO CON 350 PSI, 380 GPM, 35  RPM7","'(N) CLEANING AND CIRCLE PUMP BACHE PUMP FOR CLEANING HOLE WITH 350 PSI, 380 GPM, 35 RPM 7'","Productive","","","PER ","","",""
4,"","Corralillo6890","S-SHAPE",100,100,"100","14.75",14.75,"14.75",41097,41097.29167,41097.4375,"OK",0.145833333,"OK",0,0,0.4375,"(N) SACO BARRENA DE 14-3/4"" + MOTOR DE FONDO, DE 100 MTS. HASTA SUPERFICIE. EVALUACION DE BARRENA1-1-WT-A-E-I-NO-TD10","'(N) 14-3 / 4 &quot;BARRIER BAG + BACKGROUND MOTOR, 100 MTS UP TO SURFACE ASSEMBLY 1-1-WT-AEI-NO-TD 10'","Productive","","","PER ","","",""
5,"","Corralillo6890","S-SHAPE",100,100,"100","14.75",14.75,"14.75",41097,41097.4375,41097.45833,"OK",0.020833333,"OK",0,0,0.458333333,"(N) LIMPIO CONTRAPOZO, ORDEN Y LIMPIEZA EN PISO DE TALADRO .11","'(N) CLEANING CONTRAPOZO, ORDEN AND CLEANING IN FLOOR OF DRILL. eleven'","Productive","","","PER ","","",""
6,"","Corralillo6890","S-SHAPE",100,100,"100","14.75",14.75,"14.75",41097,41097.45833,41097.47917,"OK",0.020833334,"OK",0,0,0.479166667,"(N) CON PERSONAL WELL HEAD COLOCO PLACA BASE INFERIOR PARA TR DE 10-3/4"" .11","'(N) WITH crew / staff WELL HEAD PLACES LOWER BASE PLATE FOR TR 10-3 / 4 &quot;TR 11'","Productive","","","PER ","","",""
7,"","Corralillo6890","S-SHAPE",100,100,"100","14.75",14.75,"14.75",41097,41097.47917,41097.5,"OK",0.020833333,"OK",0,0,0.5,"(N) REALIZA PLATICA DE SEGURIDAD PREOPERATIVA. .12","'(N) MAKES PREOPERATIVE SAFETY PLATFORM. . 12'","Productive","","","PER ","","",""
8,"","Corralillo6890","S-SHAPE",100,100,"100","14.75",14.75,"14.75",41097,41097.5,41097.52083,"OK",0.020833333,"OK",0,0,0.520833333,"(N) PERSONAL DE TR´S INSTALA EQUIPO DE INTRODUCCION DE TR 10-3/4"". .12","'(N) crew / staff DE TR&#39;S Rig Up INTRODUCTION OF TR 10-3 / 4 &quot;12'","Productive","","","PER ","","",""
9,"","Corralillo6890","S-SHAPE",100,100,"100","14.75",14.75,"14.75",41097,41097.52083,41097.58333,"OK",0.0625,"OK",0,0,0.583333333,"(N) METE ZAPATA FLOTADORA + 7 TRAMOS DE TR DE 10 3/4"" H-40 32.75 LB/PIE STC Y BAJO A 90.63 MTS, LLENANDO CADA TRAMO .14","'(N) METE FLAPPY SHOOTER + 7 TR TRUNKS OF 10 3/4 &quot;H-40 32.75 LB / FOOT STC AND UNDER 90.63 MTS, FILLING UP EACH PACK.'","Productive","","","PER ","","",""
10,"","Corralillo6890","S-SHAPE",100,100,"100","14.75",14.75,"14.75",41097,41097.58333,41097.625,"OK",0.041666667,"OK",0,0,0.625,"(N) CONECTO TUBO ANCLA Y BAJO COLGADOR PARA TR DE 10 3/4"" H-40 32.75 LB/PIE STC @ 97  MTS, DISTRIBUCION DE TR DE 10 3/4''. DE: 0.00 M. A: 4.70 M. E.M.R, DE: 4.70 M. A: 96.48 M. 7- TRAMOS DE TR 10 3/4'' H-4032.75 LB/TF STC, DE: 96.48 M. A: 97 M.  ZAPATA FLOTADORA 10 3/4''. RECIBIO 8 TRAMOS DE TR 10 3/4""STC ENTRARON 7 , SOBRARON 1, 3 CENTRALIZADORES UTILIZADOS (APLICÓ TORQUE OPTIMO 2100 LB/PIE). .15","'(N) ANCHOR AND LOW HANGER CONNECTOR FOR 10 3/4 &quot;H-40 32.75 LB / FOOT STC @ 97 MTS, 10 3/4&quot; TR DISTRIBUTION OF: 0.00 M. A: 4.70 MEMR, DE: 4.70 M. A: 96.48 M. 7- TR TRACES 10 3/4 &quot;H-40 32.75 LB / TF STC, DE: 96.48 M. A: 97 M. FLOATING SHOE 10 3/4&quot;. RECEIVED 8 TR TRACES OF TR 10 3/4 &quot;STC ENTRARON 7, SOBRARON 1, 3 CENTRALIZERS USED (APPLIED TORQUE OPTIMO 2100 LB / FOOT). . fifteen'","Productive","","","PER ","","",""
11,"","Corralillo6890","S-SHAPE",100,100,"100","14.75",14.75,"14.75",41097,41097.625,41097.64583,"OK",0.020833333,"OK",0,0,0.645833333,"(N) CIRCULA POZO. .15","'(N) Circulate POZO. . fifteen'","Productive","","","PER ","","",""
12,"","Corralillo6890","S-SHAPE",100,100,"100","14.75",14.75,"14.75",41097,41097.64583,41097.66667,"OK",0.020833334,"OK",0,0,0.666666667,"(N) EFECTUO PLATICA DE SEGURIDAD. .16","'(N) PLASTIC SAFETY EFFECT. . 16'","Productive","","","PER ","","",""
